FID,Shape_Leng,Shape_Area,Tehsil,District,Province,Country,date,Lattitude,Longitude
33,1.880691883,0.123178616,Bhag,Lehri,Balochistan,Pakistan,2018-11-30,28.88452205,67.82729936
34,2.26306581,0.173981938,Bhakkar,Bhakkar,Punjab,Pakistan,2018-11-30,31.54879828,71.12415513
35,1.865426323,0.122471562,Bhalwal,Sargodha,Punjab,Pakistan,2018-11-30,32.34452551,72.9370866
36,1.402040392,0.058546549,Bhiria,Naushahro Feroze,Sindh,Pakistan,2018-11-30,26.93829953,68.24287064
37,1.330631956,0.084403201,Birmal,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.40820967,69.39636363
38,0.784392973,0.018137909,Bisham,Shangla,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.87846118,72.88279526
39,3.077955961,0.3360806,Buleda,Kech,Balochistan,Pakistan,2018-11-30,26.39404843,63.04217004
40,1.528882149,0.080941862,Bulri Shah Karim,Tando Muhammad Khan,Sindh,Pakistan,2018-11-30,24.98495566,68.38921098
41,2.316126468,0.1399022,Burewala,Vehari,Punjab,Pakistan,2018-11-30,30.13825177,72.75886784
42,2.081858706,0.14318388,Central Kurram,Kurram,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.68877264,70.49255408
43,1.343474068,0.034697939,Central Orakzai,Orakzai,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.6922784,70.97579279
44,4.761650325,0.58774977,Chachro,Tharparkar,Sindh,Pakistan,2018-11-30,25.19889398,70.31669791
45,5.624618319,1.339982763,Chagai,Chagai,Balochistan,Pakistan,2018-11-30,28.78605509,62.88630211
46,0.76038794,0.026765978,Chagharzai,Buner,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.55727064,72.66339932
47,1.035018552,0.049757937,Chak Jhumra,Faisalabad,Punjab,Pakistan,2018-11-30,31.64277803,73.24001706
48,2.424259918,0.211607937,Chakwal,Chakwal,Punjab,Pakistan,2018-11-30,32.99939045,72.84765275
49,3.151367782,0.281641063,Chaman,Killa Abdullah,Balochistan,Pakistan,2018-11-30,30.97508718,66.76121996
50,0.852489768,0.029452369,Chamla,Buner,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.3857723,72.62312843
51,0.556144714,0.013306473,Charbagh,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.8459277,72.51042954
52,1.331964433,0.063081552,Charsadda,Charsadda,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.19273903,71.72243963
53,1.24668996,0.079482661,Chattar,Nasirabad,Balochistan,Pakistan,2018-11-30,28.80117675,68.32349471
54,2.260889029,0.277305059,Chaubara,Layyah,Punjab,Pakistan,2018-11-30,30.92703767,71.53217627
55,2.603230649,0.148752137,Chichawatni,Sahiwal,Punjab,Pakistan,2018-11-30,30.43567881,72.65911845
56,0.842834849,0.02370254,Chiksar,Shangla,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.80523816,72.78591295
57,2.652801484,0.248208976,Chiniot,Chiniot,Punjab,Pakistan,2018-11-30,31.66286137,72.82600059
58,2.443506999,0.169562582,Chishtian,Bahawalnagar,Punjab,Pakistan,2018-11-30,29.68903263,72.80789513
59,4.066414033,0.590151565,Chitral,Chitral,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.88271595,71.73569043
60,1.17835079,0.044523499,Choa Saidan Shah,Chakwal,Punjab,Pakistan,2018-11-30,32.74514901,73.03773019
61,1.795768395,0.110857515,Chunian,Kasur,Punjab,Pakistan,2018-11-30,30.9025172,74.06437919
62,1.551758676,0.07427618,Dadu,Dadu,Sindh,Pakistan,2018-11-30,26.79764897,67.78121529
63,1.102917552,0.028270648,Daggar,Buner,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.5434484,72.45077168
64,2.576306333,0.230649279,Daharki,Ghotki,Sindh,Pakistan,2018-11-30,27.81413194,69.82603488
65,6.108181407,1.869017707,Dalbandin,Chagai,Balochistan,Pakistan,2018-11-30,29.04146338,64.27058139
66,2.017570977,0.162376672,Daraban,Dera Ismail Khan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,31.62764516,70.43563639
67,1.611747071,0.045479198,Darra Adam Khel,FR Kohat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.65443325,71.59787842
68,2.046059671,0.13188368,Darya Khan,Bhakkar,Punjab,Pakistan,2018-11-30,31.82120369,71.32742673
69,2.426496235,0.22368018,Dasht (Kech),Kech,Balochistan,Pakistan,2018-11-30,25.68688271,62.57265595
70,3.244681626,0.254859727,Dasht (Mastung),Mastung,Balochistan,Pakistan,2018-11-30,29.82036433,67.08434462
71,1.332779773,0.052552889,Daska,Sialkot,Punjab,Pakistan,2018-11-30,32.26460484,74.39653798
72,4.432339953,0.555985517,Dassu,Kohistan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.40663861,73.28929223
